film_tt0025452	tt0025452
film_tt0205725	tt0205725
film_tt0976014	tt0976014
film_tt0756350	tt0756350
film_tt0120742	tt0120742
film_tt0884321	tt0884321
film_tt0903135	tt0903135
film_tt0098261	tt0098261
film_tt0100135	tt0100135
film_tt0255730	tt0255730
start_1941	1941
film_tt0479977	tt0479977
film_tt0066451	tt0066451
film_tt0125010	tt0125010
film_tt0133046	tt0133046
film_tt0093058	tt0093058
run_23	23
run_160	160
film_tt0230373	tt0230373
film_tt0077681	tt0077681
film_tt0456554	tt0456554
film_tt0092272	tt0092272
film_tt0253840	tt0253840
film_tt0339135	tt0339135
film_tt0120451	tt0120451
start_1948	1948
film_tt0983782	tt0983782
film_tt0484082	tt0484082
film_tt0288886	tt0288886
film_tt0117283	tt0117283
film_tt0031826	tt0031826
film_tt0026110	tt0026110
film_tt0119572	tt0119572
film_tt0091200	tt0091200
run_113	113
film_tt0236921	tt0236921
film_tt0125802	tt0125802
film_tt0165588	tt0165588
film_tt0304947	tt0304947
film_tt0490126	tt0490126
film_tt0099260	tt0099260
film_tt0049263	tt0049263
film_tt0346094	tt0346094
film_tt0094982	tt0094982
film_tt0045492	tt0045492
film_tt0050347	tt0050347
run_204	204
film_tt0817225	tt0817225
film_tt0231008	tt0231008
film_tt0249624	tt0249624
film_tt0297721	tt0297721
film_tt0070991	tt0070991
film_tt0305483	tt0305483
film_tt0317333	tt0317333
film_tt0076794	tt0076794
film_tt0436392	tt0436392
film_tt0035399	tt0035399
film_tt0481369	tt0481369
film_tt0105297	tt0105297
run_146	146
film_tt0826613	tt0826613
film_tt0089997	tt0089997
film_tt0080752	tt0080752
film_tt0118897	tt0118897
film_tt0092750	tt0092750
film_tt0194773	tt0194773
film_tt0457475	tt0457475
film_tt0113828	tt0113828
film_tt0052367	tt0052367
film_tt0378854	tt0378854
film_tt0189162	tt0189162
film_tt0277578	tt0277578
film_tt0188055	tt0188055
film_tt0127953	tt0127953
film_tt0112439	tt0112439
film_tt0800099	tt0800099
film_tt0225836	tt0225836
film_tt0325547	tt0325547
film_tt0075202	tt0075202
film_tt0032281	tt0032281
film_tt0328084	tt0328084
film_tt0233274	tt0233274
film_tt0116130	tt0116130
film_tt0783518	tt0783518
film_tt0101205	tt0101205
film_tt0258885	tt0258885
film_tt0116334	tt0116334
film_tt0295733	tt0295733
film_tt0043895	tt0043895
film_tt0114003	tt0114003
film_tt0067355	tt0067355
film_tt0160395	tt0160395
film_tt0052878	tt0052878
film_tt0479783	tt0479783
film_tt0042582	tt0042582
film_tt0487851	tt0487851
film_tt0187646	tt0187646
film_tt0073340	tt0073340
film_tt0337708	tt0337708
film_tt0462600	tt0462600
film_tt0032902	tt0032902
film_tt0087480	tt0087480
film_tt0102129	tt0102129
film_tt0805184	tt0805184
film_tt0292501	tt0292501
film_tt0412253	tt0412253
film_tt0114194	tt0114194
film_tt0313245	tt0313245
film_tt0470982	tt0470982
film_tt0379614	tt0379614
film_tt0424890	tt0424890
film_tt0441297	tt0441297
film_tt0800026	tt0800026
film_tt0880458	tt0880458
film_tt0827521	tt0827521
film_tt0295369	tt0295369
film_tt0256240	tt0256240
genre_News	News
film_tt0200515	tt0200515
film_tt0068337	tt0068337
film_tt0048021	tt0048021
film_tt0202321	tt0202321
run_67	67
film_tt0101862	tt0101862
film_tt0192335	tt0192335
film_tt0116891	tt0116891
film_tt0887971	tt0887971
film_tt0368580	tt0368580
film_tt0104283	tt0104283
film_tt0019071	tt0019071
film_tt0040175	tt0040175
film_tt0027468	tt0027468
film_tt0044751	tt0044751
film_tt0364120	tt0364120
film_tt0088242	tt0088242
film_tt0088083	tt0088083
film_tt0089034	tt0089034
film_tt0253040	tt0253040
film_tt0080486	tt0080486
film_tt0274711	tt0274711
film_tt0111323	tt0111323
film_tt0091680	tt0091680
film_tt0116581	tt0116581
film_tt0760188	tt0760188
film_tt0235751	tt0235751
film_tt0085052	tt0085052
film_tt0159995	tt0159995
film_tt0071759	tt0071759
film_tt0473074	tt0473074
film_tt0109890	tt0109890
film_tt0288243	tt0288243
film_tt0072930	tt0072930
film_tt0434670	tt0434670
film_tt0075520	tt0075520
film_tt0887719	tt0887719
film_tt0032206	tt0032206
film_tt0114371	tt0114371
film_tt0144814	tt0144814
film_tt0896798	tt0896798
film_tt0104691	tt0104691
film_tt0472047	tt0472047
film_tt0032324	tt0032324
film_tt0031125	tt0031125
film_tt0082507	tt0082507
film_tt0284953	tt0284953
film_tt0081110	tt0081110
film_tt0863695	tt0863695
film_tt0075921	tt0075921
film_tt0102848	tt0102848
film_tt0048667	tt0048667
film_tt0096462	tt0096462
film_tt0822832	tt0822832
film_tt0265273	tt0265273
film_tt0805664	tt0805664
film_tt0126738	tt0126738
film_tt0221885	tt0221885
film_tt0265662	tt0265662
end_1977	1977
film_tt0397696	tt0397696
film_tt0120323	tt0120323
film_tt0037084	tt0037084
film_tt0316829	tt0316829
film_tt0113117	tt0113117
film_tt0089326	tt0089326
film_tt0247164	tt0247164
film_tt0132477	tt0132477
film_tt0047879	tt0047879
film_tt0321359	tt0321359
film_tt0130297	tt0130297
film_tt0097800	tt0097800
film_tt0301556	tt0301556
film_tt0419081	tt0419081
film_tt0118117	tt0118117
film_tt0071266	tt0071266
film_tt0034455	tt0034455
start_1915	1915
film_tt0116308	tt0116308
film_tt0180507	tt0180507
film_tt0039637	tt0039637
film_tt0082700	tt0082700
film_tt0479079	tt0479079
film_tt0798733	tt0798733
film_tt0044045	tt0044045
film_tt0450316	tt0450316
film_tt0383353	tt0383353
film_tt0162462	tt0162462
film_tt0008458	tt0008458
film_tt0363240	tt0363240
film_tt0266699	tt0266699
film_tt0106343	tt0106343
film_tt0064415	tt0064415
film_tt0103858	tt0103858
film_tt0048188	tt0048188
film_tt0427688	tt0427688
film_tt0937388	tt0937388
film_tt0096117	tt0096117
film_tt0415872	tt0415872
film_tt0445336	tt0445336
film_tt0075781	tt0075781
film_tt0480048	tt0480048
film_tt0105410	tt0105410
film_tt0098089	tt0098089
film_tt0071247	tt0071247
film_tt0065086	tt0065086
film_tt0087385	tt0087385
film_tt0103982	tt0103982
film_tt0119336	tt0119336
film_tt0087389	tt0087389
film_tt0231956	tt0231956
film_tt0164221	tt0164221
film_tt0480345	tt0480345
film_tt0101883	tt0101883
run_215	215
film_tt0066819	tt0066819
film_tt0000430	tt0000430
film_tt0112757	tt0112757
film_tt0081949	tt0081949
film_tt0070592	tt0070592
film_tt0423505	tt0423505
film_tt0120611	tt0120611
film_tt0088933	tt0088933
film_tt0272308	tt0272308
film_tt0439659	tt0439659
film_tt0114241	tt0114241
film_tt0063523	tt0063523
film_tt0284137	tt0284137
film_tt0397530	tt0397530
film_tt0238185	tt0238185
film_tt0210741	tt0210741
film_tt0118523	tt0118523
film_tt0106941	tt0106941
film_tt0138987	tt0138987
film_tt0119690	tt0119690
film_tt0284192	tt0284192
film_tt0018770	tt0018770
film_tt0154029	tt0154029
film_tt0758442	tt0758442
film_tt0103818	tt0103818
film_tt0077713	tt0077713
film_tt0081505	tt0081505
film_tt0238588	tt0238588
film_tt0073205	tt0073205
film_tt0093629	tt0093629
film_tt0343818	tt0343818
film_tt0076119	tt0076119
film_tt0042315	tt0042315
film_tt0043545	tt0043545
film_tt0799862	tt0799862
film_tt0119101	tt0119101
film_tt0401224	tt0401224
film_tt0838195	tt0838195
film_tt0112327	tt0112327
film_tt0113939	tt0113939
film_tt0426550	tt0426550
film_tt0261545	tt0261545
film_tt0041162	tt0041162
film_tt0215369	tt0215369
film_tt0111999	tt0111999
run_263	263
film_tt0308595	tt0308595
film_tt0027421	tt0027421
film_tt0086665	tt0086665
film_tt0439511	tt0439511
film_tt0066268	tt0066268
film_tt0476036	tt0476036
film_tt0339091	tt0339091
start_1991	1991
film_tt0268288	tt0268288
start_1996	1996
film_tt0382501	tt0382501
film_tt0390441	tt0390441
film_tt0073076	tt0073076
film_tt0858437	tt0858437
film_tt0436295	tt0436295
film_tt0113028	tt0113028
film_tt0218871	tt0218871
film_tt0274905	tt0274905
film_tt0253590	tt0253590
film_tt0075575	tt0075575
end_1991	1991
film_tt0268636	tt0268636
film_tt0340874	tt0340874
film_tt0268695	tt0268695
film_tt0263265	tt0263265
film_tt0217749	tt0217749
film_tt0097981	tt0097981
film_tt0306011	tt0306011
film_tt0101866	tt0101866
film_tt0110695	tt0110695
film_tt0376591	tt0376591
film_tt0440464	tt0440464
start_1938	1938
film_tt0164699	tt0164699
film_tt0191037	tt0191037
film_tt0817307	tt0817307
film_tt0117382	tt0117382
film_tt0373469	tt0373469
film_tt0317234	tt0317234
film_tt0391104	tt0391104
film_tt0494253	tt0494253
film_tt0443567	tt0443567
film_tt0326983	tt0326983
film_tt0235472	tt0235472
film_tt0885435	tt0885435
film_tt0138541	tt0138541
film_tt0326712	tt0326712
film_tt0402022	tt0402022
film_tt0111440	tt0111440
film_tt0041327	tt0041327
film_tt0020701	tt0020701
film_tt0402711	tt0402711
film_tt0476614	tt0476614
film_tt0100156	tt0100156
film_tt0065593	tt0065593
film_tt0269546	tt0269546
film_tt0137238	tt0137238
film_tt0214698	tt0214698
film_tt0847510	tt0847510
film_tt0247645	tt0247645
film_tt0042707	tt0042707
run_345	345
film_tt0101863	tt0101863
film_tt0104503	tt0104503
film_tt0092545	tt0092545
film_tt0236877	tt0236877
film_tt0977663	tt0977663
film_tt0087685	tt0087685
film_tt0366043	tt0366043
film_tt0116619	tt0116619
film_tt0092112	tt0092112
film_tt0189456	tt0189456
film_tt0305396	tt0305396
film_tt0863046	tt0863046
end_1975	1975
film_tt0119360	tt0119360
film_tt0101949	tt0101949
film_tt0049121	tt0049121
film_tt0149698	tt0149698
film_tt0064135	tt0064135
film_tt0301353	tt0301353
film_tt0775558	tt0775558
start_1985	1985
film_tt0098994	tt0098994
film_tt0101829	tt0101829
film_tt0476643	tt0476643
film_tt0425235	tt0425235
film_tt0086622	tt0086622
film_tt0034515	tt0034515
film_tt0207093	tt0207093
film_tt0232532	tt0232532
film_tt0328378	tt0328378
film_tt0751129	tt0751129
film_tt0448131	tt0448131
film_tt0067487	tt0067487
film_tt0087951	tt0087951
film_tt0113670	tt0113670
film_tt0120095	tt0120095
film_tt0901507	tt0901507
film_tt0872335	tt0872335
film_tt0299977	tt0299977
film_tt0022180	tt0022180
film_tt0094512	tt0094512
film_tt0042767	tt0042767
film_tt0069914	tt0069914
film_tt0420562	tt0420562
film_tt0028358	tt0028358
film_tt0319769	tt0319769
film_tt0381980	tt0381980
film_tt0863005	tt0863005
film_tt0068395	tt0068395
film_tt0027623	tt0027623
film_tt0080855	tt0080855
film_tt0037793	tt0037793
film_tt0332452	tt0332452
film_tt0049513	tt0049513
film_tt0439289	tt0439289
film_tt0100645	tt0100645
film_tt0451021	tt0451021
film_tt0100232	tt0100232
film_tt0015477	tt0015477
film_tt0071448	tt0071448
film_tt0185103	tt0185103
film_tt0108410	tt0108410
film_tt0065520	tt0065520
film_tt0477448	tt0477448
film_tt0238992	tt0238992
film_tt0107979	tt0107979
film_tt0424095	tt0424095
film_tt0194989	tt0194989
start_1934	1934
film_tt0080661	tt0080661
film_tt0434008	tt0434008
film_tt0439008	tt0439008
film_tt0430304	tt0430304
film_tt0197116	tt0197116
film_tt0275405	tt0275405
film_tt0353351	tt0353351
film_tt0091339	tt0091339
film_tt0174732	tt0174732
film_tt0073880	tt0073880
film_tt0420871	tt0420871
film_tt0109450	tt0109450
film_tt0760186	tt0760186
film_tt0243655	tt0243655
film_tt0250698	tt0250698
film_tt0098330	tt0098330
film_tt0939681	tt0939681
film_tt0153866	tt0153866
film_tt0292429	tt0292429
film_tt0290498	tt0290498
film_tt0260654	tt0260654
film_tt0879843	tt0879843
film_tt0390005	tt0390005
film_tt0064855	tt0064855
film_tt0083113	tt0083113
film_tt0052805	tt0052805
film_tt0072886	tt0072886
film_tt0115766	tt0115766
film_tt0344994	tt0344994
film_tt0483726	tt0483726
film_tt0126220	tt0126220
film_tt0037929	tt0037929
film_tt0716881	tt0716881
run_212	212
film_tt0022447	tt0022447
film_tt0072562	tt0072562
film_tt0161216	tt0161216
film_tt0036699	tt0036699
film_tt0104225	tt0104225
film_tt0041310	tt0041310
film_tt0109206	tt0109206
film_tt0077303	tt0077303
film_tt0363307	tt0363307
film_tt0775403	tt0775403
film_tt0756689	tt0756689
film_tt0340922	tt0340922
film_tt0296881	tt0296881
film_tt0138252	tt0138252
run_200	200
film_tt0246299	tt0246299
film_tt0091920	tt0091920
film_tt0302447	tt0302447
film_tt0117929	tt0117929
film_tt0091862	tt0091862
film_tt0383735	tt0383735
film_tt0082252	tt0082252
film_tt0969007	tt0969007
film_tt0120515	tt0120515
film_tt0200465	tt0200465
film_tt0995752	tt0995752
film_tt0472167	tt0472167
film_tt0218433	tt0218433
film_tt0273896	tt0273896
film_tt0319477	tt0319477
film_tt0119087	tt0119087
film_tt0038120	tt0038120
film_tt0114590	tt0114590
run_51	51
film_tt0097874	tt0097874
film_tt0073078	tt0073078
film_tt0119998	tt0119998
film_tt0082926	tt0082926
film_tt0902306	tt0902306
film_tt0037136	tt0037136
film_tt0293849	tt0293849
film_tt0119882	tt0119882
film_tt0875139	tt0875139
film_tt0182225	tt0182225
film_tt0254334	tt0254334
film_tt0086364	tt0086364
film_tt0328031	tt0328031
film_tt0065168	tt0065168
run_45	45
film_tt0092859	tt0092859
film_tt0177959	tt0177959
film_tt0424942	tt0424942
film_tt0438365	tt0438365
film_tt0114658	tt0114658
film_tt0765447	tt0765447
film_tt0385056	tt0385056
film_tt0075030	tt0075030
film_tt0346904	tt0346904
film_tt0896585	tt0896585
film_tt0273517	tt0273517
film_tt0215835	tt0215835
film_tt0383993	tt0383993
film_tt0077525	tt0077525
film_tt0162889	tt0162889
film_tt0371212	tt0371212
film_tt0212304	tt0212304
film_tt0104396	tt0104396
film_tt0070229	tt0070229
film_tt0220982	tt0220982
film_tt0369053	tt0369053
film_tt0040597	tt0040597
film_tt0100333	tt0100333
film_tt0050933	tt0050933
start_1964	1964
film_tt0271233	tt0271233
film_tt0177707	tt0177707
film_tt0225272	tt0225272
film_tt0075393	tt0075393
film_tt0352696	tt0352696
film_tt0846017	tt0846017
film_tt0808185	tt0808185
film_tt0096511	tt0096511
film_tt0034522	tt0034522
film_tt0072747	tt0072747
film_tt0384312	tt0384312
film_tt0112056	tt0112056
film_tt0387714	tt0387714
film_tt0033660	tt0033660
film_tt0031038	tt0031038
film_tt0295456	tt0295456
film_tt0116269	tt0116269
film_tt0489564	tt0489564
film_tt0180679	tt0180679
film_tt0082525	tt0082525
film_tt0287811	tt0287811
film_tt0106336	tt0106336
film_tt0049656	tt0049656
film_tt0351887	tt0351887
film_tt0106953	tt0106953
film_tt0457076	tt0457076
film_tt0050594	tt0050594
film_tt0049846	tt0049846
film_tt0116434	tt0116434
film_tt0478558	tt0478558
film_tt0120338	tt0120338
film_tt0062851	tt0062851
film_tt0475937	tt0475937
film_tt0242423	tt0242423
film_tt0037474	tt0037474
genre_Family	Family
film_tt0099012	tt0099012
film_tt0370244	tt0370244
film_tt0081268	tt0081268
film_tt0083146	tt0083146
film_tt0098622	tt0098622
film_tt0097044	tt0097044
film_tt0270118	tt0270118
film_tt0130267	tt0130267
film_tt0389796	tt0389796
film_tt0037514	tt0037514
film_tt0065400	tt0065400
film_tt0078952	tt0078952
film_tt0075132	tt0075132
film_tt0850642	tt0850642
film_tt0880573	tt0880573
run_100	100
film_tt0460692	tt0460692
film_tt0065230	tt0065230
film_tt0118283	tt0118283
film_tt0027699	tt0027699
film_tt0146367	tt0146367
film_tt0028345	tt0028345
film_tt0473500	tt0473500
film_tt0229332	tt0229332
film_tt0364828	tt0364828
film_tt0035570	tt0035570
film_tt0314869	tt0314869
film_tt0085688	tt0085688
film_tt0051790	tt0051790
film_tt0483200	tt0483200
film_tt0758774	tt0758774
film_tt0430766	tt0430766
film_tt0317052	tt0317052
run_62	62
film_tt0068863	tt0068863
film_tt0772154	tt0772154
film_tt0879874	tt0879874
film_tt0246875	tt0246875
